question,answer,crop,state,district,category
asking about fertilizer doses of mustard,"advised to aplly urea=12kg, ssp=30,mop=3 and borax=1kg/bigha",,,,
asking about the nutrient management.,"apply mahaphal, tata tracel or crop booster @2gm/l water.",,,,
asking about treatment of mastitis in pig.,suggested to administer inflawin fort bolus @ 1 bolus twice daily for 5 days.,,,,
asking about cultural practices of nursery bed,told him done regular watering,,,,
asking about the control of bacterial wilt in pea,recommended him to spray plantomycin @ 1 ml/ 10 lit of water,,,,
asking about the treatment of mastitis of a cow.,suggested to apply the mastilep cream over udder twice a day after cleaning.,,,,
asking about the ferrtilizer doses in rice,"told him to apply 4kg urea , 5 kg mop / bigha",,,,
complain against dd kisaan sms service and want to stop it,adviced to sent a sms to '51969' as 'sms kisaan stop',,,,
asking about shoot borer resistant variety of brinjal,suggested to grow pusa purple round variety of brinjal as shoot borer resistant variety.,,,,
asking about the seedling treatment in tomato,suggested him to dip the tomato seedling in indofil solution @ 2gm/liter of water,,,,
asking for disease problem,suggested him to spray bavistin @ 2 gm per litre of water,,,,
diarrhoea,give 1. gentamycine inj @ 1 ml daily for 3 days,,,,
want to know regarding premature flower fall in ridge gourd,advice to spray mancozeb @ 2 g/lit of water,,,,
asking about the control measure for hairy caterpillar in black gram,recommended to spray rocket @ 1.5 ml/lit water.,,,,
asking for the control measure against late blight disease in tomato.,'indofil m-45' solution @ 2.5 gram per 1 litre of water and 'ridomil mz -72 solution @ 2 gram per 1 litre of water has been suggested to spray on the crop alternatively at an interval of 7 days.,,,,
control of fruit rot in chilli,spray captaf @ 2 gm per liter of water,,,,
asking that at what time water is to be supplied for maize crop.,suggested that maize is primarily grown as rainfed crop;but application of irrigation at the time of soil moisture deficit ensures optimum yield.therefore proper water supply is to be maintained at the time of silking stage and grain filling stage.,,,,
query regarding pest control in spine gourd,suggested malathion 50 ec @ 2ml per litr of water,,,,
control measure of eus disease,apply lime @ 4kg followed by potassium paramanganet 50 gm on your pond,,,,
"date	rainfall
(mm)	temp
(max/min)	humidity 
(max/min)	wind
02 may	0	0  / 0	0  / 0	0
03 may	89.0	27.0  / 22.0	67.0  / 0	4.0
04 may	51.0	27.0  / 22.0	62.0  / 0	5.0
05 may	163.0	30.0  / 20.0	48.0  / 0	8.0
06 may	33.0	24.0  / 21.0	75.0  / 0	4.0
07 may	47.0	23.0  / 21.0	74.0  / 0	5.0","date	rainfall
(mm)	temp
(max/min)	humidity 
(max/min)	wind
02 may	0	0  / 0	0  / 0	0
03 may	89.0	27.0  / 22.0	67.0  / 0	4.0
04 may	51.0	27.0  / 22.0	62.0  / 0	5.0
05 may	163.0	30.0  / 20.0	48.0  / 0	8.0
06 may	33.0	24.0  / 21.0	75.0  / 0	4.0
07 may	47.0	23.0  / 21.0	74.0  / 0	5.0",,,,
asking about making process of vermicompost,explained him in details,,,,
query regarding rhinocerous beetle,advised to apply malathion 5% dust or phorat 10g @ 50gm/plant mix with sand and apply in the bud reason,,,,
query regarding bacterial blight,advised to apply plantomycin/agrimycin/streptocycline @ 1gm/10lit and blitox @ 1gm/1lit,,,,
asking about the control of fungal infection in cauliflower,suggested him to spray saaf @ 2gm/l of water,,,,
control measure of fruit borer of bottle gourd,spray 'malathion 50 ec' @ 2 ml per litre of water,,,,
asking about disease management of bottle gourd,recommended to spray bavistin @ 2g/lit of water,,,,
asking about kcc loan .,"recommended him to visit nationalized bank like sbi, ubi etc.",,,,
disease,replied accordingly,,,,
asking about some varieties suitable for submerged condition.,"recommended him to go for jalasree, jalkuwori etc.",,,,
asking about the age of castration period of a pig,suggested to the age of castration period of a pig is 2-3 month of age.,,,,
asking about some plant growth regulators for pointed gourd,advised to spray miraculan @ 2 ml / litre of water,,,,
seeking loan on govt. subsidy scheme,advised to visit district fishery office,,,,
asking about leaf curl in litchi,suggested as this is caused by mites so miticide like propargite 57% ec should be applied @ 2ml/ltr water,,,,
aking about pm fasal bima yojana .,"it is an crop insurance scheme. you can apply online or visit district agriculture office. last date for kharif season  was 31 st july, 2020.",,,,
micro nutrient requirment in chilli,spray tracel 2 @ 2 gm per liter of water,,,,
asking about the control of bud rot disease in arecanut,"suggested him to isolate the infected plant from healthy ones by digging a trance and spray the plant with saaf @ 2gm/liter of water  , three times in five days of interval and apply urea-100gm, ssp-100gm,mop-100gm along with compost and mustard cake",,,,
query regarding varities of knol - khol,"recommended varities are white vienna , purple viennna",,,,
asking about the mustard  fertilizer dose,explain in details,,,,
asking about the kisan credit card.,explained in details.,,,,
asking about to conntroll of chilly mites.,suggested him to spray calthane @ 2ml/liter of water.,,,,
asking about control measure of leaf eating caterpillar,recommended to spray malathion 50 ec @ 2 ml per lit of water,,,,
asking about the foliar application of urea in nursery,suggest him to apply urea 5 gm /ltre of water as foliar application,,,,
asking about the varities of rajmah,"vl rajma 125,vl rajma 63,. pdr-14, hur-15 (malviya rajma 15),hur-137 (malviya rajma 137), amber, utkarsh, arun",,,,
asking for slightly wilting during high sunlight of forest crop,suggested him properly,,,,
asking about the control measure against stem borer infestation in boro paddy.,advised him to spray tricel-20 @ classic-20 @ 2 ml./litre of water.,,,,
query  regarding name of vaccine against black quarter,the name of vaccine is hsbq,,,,
cultivation practices of chilli.,given in details,,,,
top dressing in paddy,apply urea @ 4 kg per bigha after 30 days of planting,,,,
asking about the potato virus in potato,suggested him to spray rogor @ 2ml /l of water,,,,
asking about pm kisan samman nidhi yojona,--visit district agriculture office as your 3rd installment payment stoped by state on request of districts due to correction pending at state,,,,
asking about the vermicompost preparation,explains  expain,,,,
leaf curl,spray malathion 50 ec @ 2 ml /lit water,,,,
query regarding infection in goat,broadiclox 500 mg i/m ly dexona 1 ml as directed  anigest 30 gm -10 gm orally daily normal saline 1 bottle - infuse i/ v ly  liv 52 syrup - 10 ml orally,,,,
asking about the control of leaf curl disease in chillies,suggested him to spray malathion 50 ec @ 2ml/liter of water,,,,
asking about control of blight in potato,told him to apply contaf @ 2ml/liter of water,,,,
asking the process of seed treatment for black cumin.,replied that the seeds should be soaked in water for 24-36 hours followed by drying in shade. dry seed treatment should be done with captan 50wp @ 3 gram per kilo gram of seeds.,,,,
asking about pm kisan maan dhan yojana,"told him it is a central govt. scheme. age limit of the applicant is 18-40 years. landholding should be less than 15 bighas. applicants have to give premium and after attaining 60 years, they will get rs 3000 per month.",,,,
asking about planting time of strawberry,recommended planting time is march - april.,,,,
control measures of late blight,advice to spray indofil m 45 @ 2 gm/l water,,,,
asking about the root hormone for mango,apply auxin,,,,
asking for name of the improved seeds of ridge gourd.,advised to use pusa nasdar or aauj-1,,,,
asking about treatment of bloat of a cow.,suggested him to administer timpol powder @80gn twice daily.,,,,
asking about procurement of power tiller in subsidy,"contact district agricultural office, dhubri, college road , silghagri, santi nagar pin-783324",,,,
asking about the pest control in rice,apply ustad@ 2 ml/litres of water,,,,
asking about aphid problem in cowpea,suggested to spray profex super @ 2ml/litre of water,,,,
query about powdery  mildew.,spray saaf of ridomil gold @ 2ml or 2g per litre of water for 3 times at 5 days interval.,,,,
query regarding management of fruit rot and drop in pumpkin.,"at first spray borax 6 gram/liter of water 3 times @ 7 days interval in the evening time. by maintaining of 3 days gap spray neem oil 5 ml/liter of water at 5 days interval continously up to the end of the season. after completion of 3 spray of borax, continue one vitamin like- mohaphol/sagorika/biovita 2 ml/liter of water @ 15 days interval up to the end of the season in the evening time in the absence of rain.",,,,
asking about the control measure leaf spot in chilli,suggested him to spray amister @1ml/lit of water,,,,
asking control measure of panama wilt in banana cultivation,suggested to make  10 centimetr hole in diseased corm at an angle of 45°.the hole is filled with 2%(20gram/liter)carbendazim solution  and also to plant healthy planting materials.,,,,
sasked about stem borer control of paddy,adviced to spray cartap 50ec,,,,
asking about treatment of diarrhoea in cow.,suggested to administer neblon powdeer @ 50 gm twic daily for five dayys.,,,,
agril. query,transfered to expert,,,,
asking about dose of tracel and npk 19 all,"suggested him to spray tracel 2 times at 15 days interval mixing 2 gram in 1 liter of water.
after 4-5 days of 1st spray of tracel, spray npk 19 all 2 times at 15 days interval mixing 10 gram in 1 liter of water",,,,
asking about dose of borax,????? ???? ??????? ??? ????? ? ??? ?.? ???? ???? ??? ????,,,,
asking for fruit and shoot borer in brinjal,suggeted him to spray charge @ 1 ml/ 2 iltre of water,,,,
agri qwerry about brinjal,suggested to apply alphamethrine @ 1ml/2litres of water,,,,
control measure of leaf eating caterpillars attack in pointed gourd.,advised to spray malathion 50 ec @ 2 ml/ litre of water.,,,,
asking about the chemical composition of rogor and tufgor,in rogor and tufgor dimethoate is present and it is used against aphids,,,,
asking about the control of curling of leaf in brinjal,advice to spray rogor 35 ec @ 2ml/liter of water,,,,
dose of all clear weedicide,spray all clear @2ml/l water.,,,,
asking about control of bacterial infection in paddy.,apply cristocycline or streptocycline @ 1 g per liter of water at an interval of 7 days for 3 times.,,,,
asking about fruit fly problem in pumpkin,suggested to spray malathion 50ec @ 2ml + 5 gm of gur per litre of water,,,,
asking about earthworm problem in banana,advice to apply furadon powder @ 40 gm per plant,,,,
asking about the control of rot disease in bean,suggested him to spray saaf @ 2gm/liter of water,,,,
asking about the cultural method for mustard,explain in details,,,,
asking for the manures and fertilizer doses in terms of per bigha of land for chilli crop cultivation,"20, 33, 13 and 200 kilo grams of urea, single super phosphate, muriate of potash and farm yard manures respectively has been suggested as the manures and fertilizer doses in terms of per bigha of land for chilli crop cultivation",,,,
asking about the fertilizer dose of rice,"apply 20,20,10 kg urea, ssp, mop /bigha",,,,
disorder,spray b. mixture,,,,
asking about fertilizer application of tomato,explained him in details,,,,
asking about the cultivation practices of boro rice.,given in details,,,,
asking about the treatment of swelling of the leg.,suggested to inj melonex @3ml daily for three days.,,,,
